DAU,participantNo,age,gender,eye,trial,task,block,blockTrial,trialStartTime,trialFinishTime,trialStage,lImage,lValueIAPS,lValue,rImage,rValueIAPS,rValue,response,rt,fixStart,fixEnd,fixLength,dilation,fixPosX,fixPosY,aoi,fixStartTr,fixEndTr,fixDurationTr,fixDurationProp,intra_choice
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,fixationCross,7096,5.54,4,1333,6.11,6,62,3000,4650398,4650414,18,3314,601.4,529,left,4650642,4650642,0,0,0
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4650436,4650824,390,3369,708.3,470.6,left,4650642,4650824,182,0.0606666666666667,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4650860,4651086,228,3438,536.3,563.1,left,4650860,4651086,226,0.0753333333333333,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4651152,4651374,224,3414,1368.4,512.7,right,4651152,4651374,222,0.074,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4651400,4651598,200,3447,1570.7,607.1,right,4651400,4651598,198,0.066,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4651782,4651872,92,3516,1555.2,609.4,right,4651782,4651872,90,0.03,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4651940,4652148,210,3540,626,577.4,left,4651940,4652148,208,0.0693333333333333,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4652176,4652424,250,3426,485.2,576.5,left,4652176,4652424,248,0.0826666666666667,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4652452,4652614,164,3343,705.8,603.1,left,4652452,4652614,162,0.054,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4652662,4653376,716,3529,1036.6,938.4,likertHorizontal,4652662,4653376,714,0.238,1
NS01,2,19,Female,R,68,continuous,2,18,4650642,4653642,trial,7096,5.54,4,1333,6.11,6,62,3000,4653418,4653860,444,3714,1296.2,577.3,right,4653418,4653642,224,0.0746666666666667,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,fixationCross,8192,5.52,7,1616,5.21,1,1,3516,4633254,4633360,108,3572,759.7,504,,4633526,4633526,0,0,0
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4633384,4633692,310,3616,630.8,460.1,left,4633526,4633692,166,0.0472127417519909,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4633726,4634050,326,3466,432.1,437.2,left,4633726,4634050,324,0.0921501706484642,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4634122,4634406,286,3386,1452.4,547.5,right,4634122,4634406,284,0.080773606370876,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4634430,4634760,332,3350,1565.4,586.1,right,4634430,4634760,330,0.0938566552901024,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4634788,4635016,230,3250,1484.3,472.9,right,4634788,4635016,228,0.0648464163822526,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4635046,4635324,280,3235,1319.5,702.8,right,4635046,4635324,278,0.0790671217292378,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4635370,4635658,290,3302,1591.5,602.3,right,4635370,4635658,288,0.0819112627986348,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4635680,4635924,246,3329,1576.9,523.9,right,4635680,4635924,244,0.0693970420932878,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4636006,4636180,176,3239,473.4,451.6,left,4636006,4636180,174,0.0494880546075085,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4636200,4636332,134,3197,422.3,386.9,left,4636200,4636332,132,0.037542662116041,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4636410,4636694,286,3396,1543,530.4,right,4636410,4636694,284,0.080773606370876,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4636714,4636816,104,3454,1585.6,520.7,right,4636714,4636816,102,0.0290102389078498,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,trial,8192,5.52,7,1616,5.21,1,1,3516,4636896,4637036,142,3351,470.5,430.6,left,4636896,4637036,140,0.0398179749715586,1
NS01,2,19,Female,R,64,continuous,2,14,4633526,4637042,postResponse,8192,5.52,7,1616,5.21,1,1,3516,4637058,4637372,316,3274,435.5,381.3,left,4637042,4637042,0,0,0
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4589488,4589934,448,3556,717.2,533,left,4589758,4589934,176,0.0606896551724138,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4589976,4590194,220,3612,458.2,669.9,left,4589976,4590194,218,0.0751724137931035,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4590216,4590350,136,3403,464.8,592.7,left,4590216,4590350,134,0.0462068965517241,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4590422,4590658,238,3422,1524.3,533.5,right,4590422,4590658,236,0.0813793103448276,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4590678,4590914,238,3502,1599.9,556.3,right,4590678,4590914,236,0.0813793103448276,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4590936,4591060,126,3562,1573.2,466.8,right,4590936,4591060,124,0.0427586206896552,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4591136,4591454,320,3493,542.2,668.3,left,4591136,4591454,318,0.109655172413793,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4591470,4591728,260,3458,475.9,660.9,left,4591470,4591728,258,0.0889655172413793,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4591778,4591864,88,3437,543,1019.8,,4591778,4591864,86,0.0296551724137931,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4591884,4592076,194,3448,542.6,969,,4591884,4592076,192,0.0662068965517241,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4592120,4592396,278,3505,492.7,614.5,left,4592120,4592396,276,0.0951724137931034,1
NS01,2,19,Female,R,55,continuous,2,5,4589758,4592658,trial,5215,6.83,7,2032,5.58,7,1,2900,4592420,4592862,444,3508,517.8,559.7,left,4592420,4592658,238,0.0820689655172414,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4657264,4657654,392,3847,964.7,515,,4657509,4657654,145,0.0654332129963899,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4657702,4657832,132,3901,574.7,555.6,left,4657702,4657832,130,0.0586642599277978,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4657894,4658170,278,3712,1447.8,596.5,right,4657894,4658170,276,0.124548736462094,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4658192,4658324,134,3696,1444.1,521.9,right,4658192,4658324,132,0.0595667870036101,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4658390,4658738,350,3622,592.5,563.2,left,4658390,4658738,348,0.157039711191336,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4658800,4658958,160,3766,1393.2,634.9,right,4658800,4658958,158,0.0712996389891697,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4658980,4659188,210,3765,1496.3,635.3,right,4658980,4659188,208,0.0938628158844765,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4659204,4659456,254,3782,1483.8,598.9,right,4659204,4659456,252,0.113718411552347,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4659478,4659706,230,3797,1448.8,686.5,right,4659478,4659706,228,0.102888086642599,1
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,trial,7140,5.5,3,2152,6.93,7,100,2216,4659734,4659926,194,3778,1419.8,517.4,right,4659725,4659725,0,0,0
NS01,2,19,Female,R,70,continuous,2,20,4657509,4659725,postResponse,7140,5.5,3,2152,6.93,7,100,2216,4659988,4660058,72,3676,790.8,475.1,,4659725,4659725,0,0,0
NS01,2,19,Female,R,10,binary,1,10,4361422,4363355,trial,7100,5.24,3,2362,6.74,5,2,1933,4361154,4361618,466,3341,517.2,449.3,left,4361422,4361618,196,0.10139679255044,1
NS01,2,19,Female,R,10,binary,1,10,4361422,4363355,trial,7100,5.24,3,2362,6.74,5,2,1933,4361660,4361902,244,3312,472.4,589.4,left,4361660,4361902,242,0.125193998965339,1
NS01,2,19,Female,R,10,binary,1,10,4361422,4363355,trial,7100,5.24,3,2362,6.74,5,2,1933,4361976,4362124,150,3252,1445.1,466.5,right,4361976,4362124,148,0.0765649249870667,1
