rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,30,47,F,binary,1,1,2445,5.39,2900,6.62,1440,972,2,3.85014689946547
2,NS01,30,47,F,binary,1,2,7489,6.54,5800,6.36,1440,972,2,5.63353160308907
3,NS01,30,47,F,binary,1,3,2593,5.8,2513,5.8,1440,972,2,3.80017463280819
4,NS01,30,47,F,binary,1,4,2308,5.22,5530,5.38,1440,972,2,3.18364088376984
5,NS01,30,47,F,binary,1,5,2435,5.84,7475,6.33,1440,972,2,2.73368045559619
6,NS01,30,47,F,binary,1,6,2980,5.61,1908,5.28,480,972,1,2.45019719802076
7,NS01,30,47,F,binary,1,7,7183,5.58,1660,6.49,1440,972,2,1.95006919809384
8,NS01,30,47,F,binary,1,8,7503,5.77,1675,5.24,1440,972,2,4.43359295895789
9,NS01,30,47,F,binary,1,9,1900,6.65,8325,5.63,480,972,1,1.61692135455087
10,NS01,30,47,F,binary,1,10,7057,5.35,1640,6.16,1440,972,2,2.58354671671987
11,NS01,30,47,F,binary,1,11,8250,6.19,2597,5.61,1440,972,2,4.20021958305733
12,NS01,30,47,F,binary,1,12,5740,5.21,7496,5.92,480,972,1,2.26686669915216
13,NS01,30,47,F,binary,1,13,4613,5.34,2374,6.29,1440,972,2,2.01695638929959
14,NS01,30,47,F,binary,1,14,7440,6.32,5500,5.42,1440,972,2,2.20024812762858
15,NS01,30,47,F,binary,1,15,5410,6.11,7248,5.22,480,972,1,2.50017006567214
16,NS01,30,47,F,binary,1,16,7499,6.47,7026,5.38,1440,972,2,2.41694064467447
17,NS01,30,47,F,binary,1,17,5628,6.51,2880,5.18,480,972,1,3.18352159741335
18,NS01,30,47,F,binary,1,18,2594,6.05,8161,6.71,480,972,1,3.23351489700144
19,NS01,30,47,F,binary,1,19,8312,5.37,1616,5.21,1440,972,2,2.30029091448523
20,NS01,30,47,F,binary,1,20,2389,6.61,7512,5.38,1440,972,2,4.4001338891685
21,NS01,30,47,F,binary,1,21,5731,5.39,7490,5.52,480,972,1,2.33351862279233
22,NS01,30,47,F,binary,1,22,7493,5.35,5635,6.25,480,972,1,5.38368469220586
23,NS01,30,47,F,binary,1,23,7390,6.84,1810,6.52,1440,972,2,3.25012845068704
24,NS01,30,47,F,binary,1,24,2392,6.15,5870,6.78,1440,972,2,2.11680056579644
25,NS01,30,47,F,binary,1,25,7205,5.56,8341,6.25,480,972,1,2.95022243750282
26,NS01,30,47,F,binary,1,26,7450,6.4,1670,5.82,1440,972,2,1.81678247760283
27,NS01,30,47,F,binary,1,27,8117,6.02,7238,6.43,1440,972,2,2.36702516669175
28,NS01,30,47,F,binary,1,28,5875,6.03,5455,5.79,480,972,1,3.00028845056659
29,NS01,30,47,F,binary,1,29,2358,6.56,8620,6.04,480,972,1,2.01682177901966
30,NS01,30,47,F,binary,1,30,8280,6.38,1850,6.15,1440,972,2,1.70022829662776
31,NS01,30,47,F,binary,1,31,7042,5.55,8260,6.18,1440,972,2,2.13342283316888
32,NS01,30,47,F,binary,1,32,1910,6.71,5720,6.31,1440,972,2,1.41679762123385
