ParticipantNo,lChoice,lValue,rChoice,rValue
1,2515,6.09,2122,5.15
1,8117,6.02,8192,5.52
1,2032,5.58,2374,6.29
1,7546,5.4,1810,6.52
1,2339,6.72,2442,6.17
1,7507,6.25,2900,6.62
1,7509,6.03,5661,5.96
1,7039,5.93,5635,6.25
1,5726,6.23,7477,6.12
1,8161,6.71,5020,6.32
1,8311,5.88,7505,6.1
1,2521,5.78,7660,6.61
1,1419,6.54,2593,5.8
1,5890,6.67,7501,6.85
1,7250,6.62,7057,5.35
1,5626,6.71,7179,5.06
1,7017,5.18,8040,6.64
1,7195,6.02,7026,5.38
1,8205,6.62,8341,6.25
1,7140,5.5,7495,5.9
1,2489,5.66,7061,5.4
1,7019,5.2,2488,5.73
1,2273,5.41,7493,5.35
1,5215,6.83,8179,6.48
1,7279,6.22,8280,6.38
1,1670,5.82,7238,6.43
1,8031,6.76,7830,5.26
1,7300,5.64,5720,6.31
1,7014,5.15,4645,6.73
1,7351,5.82,7001,5.32
1,8251,6.16,7240,6.02
1,1333,6.11,2302,6.43
1,5800,6.36,7042,5.55
1,7320,6.54,5622,6.33
1,7165,6.09,2025,5.78
1,7496,5.92,2036,5.8
1,2870,5.31,5500,5.42
1,2217,6.24,7352,6.2
1,9156,6.43,7620,5.78
1,7450,6.4,2511,6.21
1,1910,6.71,2390,5.4
1,8130,6.58,2560,6.34
1,2107,5.53,2359,5.87
1,4613,5.34,7440,6.32
1,5849,6.65,7513,5.45
1,2060,6.49,1560,5.97
1,2435,5.84,5390,5.59
1,5950,5.99,1605,6.59
1,2392,6.15,5530,5.38
1,2102,5.16,7503,5.77
1,5764,6.74,1850,6.15
1,1660,6.49,1675,5.24
1,8191,6.07,2605,6.26
1,2445,5.39,7460,6.81
1,7550,5.27,8600,6.38
1,2358,6.56,5395,5.34
1,2635,5.22,7497,5.19
1,5533,5.31,2235,5.64
1,2606,5.92,7052,5.33
1,7710,5.42,7242,5.28
1,7182,5.16,1947,5.85
1,2020,5.68,2514,5.19
1,5711,6.62,8325,5.63
1,5875,6.03,5628,6.51
1,7080,5.27,4617,6.6
1,5040,5.39,5665,6.15
1,5531,5.15,8250,6.19
1,7506,5.34,8158,6.53
1,7237,5.43,5301,6.54
1,2038,5.09,7095,5.99
1,5300,6.91,2092,6.28
1,8211,5.76,2579,5.53
