rowN,DAU,participantN,age,gender,task,taskOrder,trial,lImage,lValue,rImage,rValue,xBoxPos,yBoxPos,response,RT
1,NS01,2,19,Female,binary,1,1,NA,NA,7057,5.35,480,972,1,2.65037510621551
2,NS01,2,19,Female,binary,1,2,NA,NA,2488,5.73,1440,972,2,2.46702646896665
3,NS01,2,19,Female,binary,1,3,NA,NA,7550,5.27,480,972,1,3.31690556000831
4,NS01,2,19,Female,binary,1,4,NA,NA,5950,5.99,480,972,1,1.73357062417199
5,NS01,2,19,Female,binary,1,5,NA,NA,2382,5.67,1440,972,2,2.50031429117371
6,NS01,2,19,Female,binary,1,6,NA,NA,7019,5.2,1440,972,2,1.96700814032192
7,NS01,2,19,Female,binary,1,7,NA,NA,7190,5.55,1440,972,2,1.85037306302365
8,NS01,2,19,Female,binary,1,8,NA,NA,8620,6.04,1440,972,2,2.03347591616148
9,NS01,2,19,Female,binary,1,9,NA,NA,5890,6.67,480,972,1,1.80020035311099
10,NS01,2,19,Female,binary,1,10,NA,NA,2489,5.66,1440,972,2,1.93354544482099
11,NS01,2,19,Female,binary,1,11,NA,NA,5395,5.34,480,972,1,2.85015161694719
12,NS01,2,19,Female,binary,1,12,NA,NA,7248,5.22,480,972,1,2.11680093650466
13,NS01,2,19,Female,binary,1,13,NA,NA,7096,5.54,1440,972,2,1.96689366141436
14,NS01,2,19,Female,binary,1,14,NA,NA,7354,5.51,480,972,1,1.36682166890569
15,NS01,2,19,Female,binary,1,15,NA,NA,2032,5.58,1440,972,2,3.06685718440713
16,NS01,2,19,Female,binary,1,16,NA,NA,2010,6.25,480,972,1,2.31685688393736
17,NS01,2,19,Female,binary,1,17,NA,NA,8130,6.58,480,972,1,3.45019175968082
18,NS01,2,19,Female,binary,1,18,NA,NA,7195,6.02,480,972,1,2.13353498847937
19,NS01,2,19,Female,binary,1,19,NA,NA,1450,6.37,1440,972,2,1.78352879880731
20,NS01,2,19,Female,binary,1,20,NA,NA,7039,5.93,1440,972,2,1.85016573901703
21,NS01,2,19,Female,binary,1,21,NA,NA,2390,5.4,1440,972,2,3.26686806140788
22,NS01,2,19,Female,binary,1,22,NA,NA,2019,6.07,1440,972,2,2.73354748801466
23,NS01,2,19,Female,binary,1,23,NA,NA,5849,6.65,1440,972,2,1.70025485829319
24,NS01,2,19,Female,binary,1,24,NA,NA,2900,6.62,480,972,1,2.75030948366111
25,NS01,2,19,Female,binary,1,25,NA,NA,8465,5.96,1440,972,2,1.88349142039078
26,NS01,2,19,Female,binary,1,26,NA,NA,2593,5.8,480,972,1,2.58340314243105
27,NS01,2,19,Female,binary,1,27,NA,NA,7460,6.81,1440,972,2,1.40027264609125
28,NS01,2,19,Female,binary,1,28,NA,NA,5900,5.93,480,972,1,1.75030467614852
29,NS01,2,19,Female,binary,1,29,NA,NA,5520,5.33,1440,972,2,2.16671734586816
30,NS01,2,19,Female,binary,1,30,NA,NA,6250,6.32,1440,972,2,2.06698458350729
31,NS01,2,19,Female,binary,1,31,NA,NA,1419,6.54,480,972,1,2.41678495152155
32,NS01,2,19,Female,binary,1,32,NA,NA,2217,6.24,1440,972,2,2.15024470242133
33,NS01,2,19,Female,binary,1,33,NA,NA,5731,5.39,480,972,1,2.75013671365559
34,NS01,2,19,Female,binary,1,34,NA,NA,8192,5.52,480,972,1,2.3835509133678
35,NS01,2,19,Female,binary,1,35,NA,NA,7042,5.55,480,972,1,2.26695850274882
36,NS01,2,19,Female,binary,1,36,NA,NA,7352,6.2,480,972,1,2.48350872743868
37,NS01,2,19,Female,binary,1,37,NA,NA,2511,6.21,480,972,1,2.15027895595267
38,NS01,2,19,Female,binary,1,38,NA,NA,5875,6.03,1440,972,2,1.8002703625225
39,NS01,2,19,Female,binary,1,39,NA,NA,8325,5.63,480,972,1,2.53362524953991
40,NS01,2,19,Female,binary,1,40,NA,NA,2102,5.16,480,972,1,1.70009681129704
41,NS01,2,19,Female,binary,1,41,NA,NA,8179,6.48,1440,972,2,3.2335054222749
42,NS01,2,19,Female,binary,1,42,NA,NA,1910,6.71,480,972,1,2.05020035311281
43,NS01,2,19,Female,binary,1,43,NA,NA,8117,6.02,480,972,1,1.88344665042496
44,NS01,2,19,Female,binary,1,44,NA,NA,1333,6.11,1440,972,2,1.90013773525243
45,NS01,2,19,Female,binary,1,45,NA,NA,1640,6.16,480,972,1,1.68345981099264
46,NS01,2,19,Female,binary,1,46,NA,NA,7351,5.82,1440,972,2,2.95026687707468
47,NS01,2,19,Female,binary,1,47,NA,NA,7477,6.12,1440,972,2,2.50013461036906
48,NS01,2,19,Female,binary,1,48,NA,NA,2037,6.42,1440,972,2,2.70011724322649
49,NS01,2,19,Female,binary,1,49,NA,NA,7291,6.35,480,972,1,3.75033171840914
50,NS01,2,19,Female,binary,1,50,NA,NA,2720,5.43,480,972,1,2.33358853215759
51,NS01,2,19,Female,continuous,1,51,NA,NA,1900,6.65,652,972,19,7.03371508994132
52,NS01,2,19,Female,continuous,1,52,NA,NA,2056,6.34,581,972,11,6.06683134402556
53,NS01,2,19,Female,continuous,1,53,NA,NA,2374,6.29,1179,972,73,4.23367548805254
54,NS01,2,19,Female,continuous,1,54,NA,NA,4536,6.01,1440,972,100,3.15012902163471
55,NS01,2,19,Female,continuous,1,55,NA,NA,2435,5.84,480,972,1,2.90011820473046
56,NS01,2,19,Female,continuous,1,56,NA,NA,8600,6.38,1030,972,58,3.98355109365002
57,NS01,2,19,Female,continuous,1,57,NA,NA,7100,5.24,750,972,29,5.03360361572959
58,NS01,2,19,Female,continuous,1,58,NA,NA,5301,6.54,1440,972,100,2.7834990523188
59,NS01,2,19,Female,continuous,1,59,NA,NA,7017,5.18,628,972,16,4.88348300724283
60,NS01,2,19,Female,continuous,1,60,NA,NA,7499,6.47,1296,972,85,3.88355301665433
61,NS01,2,19,Female,continuous,1,61,NA,NA,7188,5.5,617,972,15,4.96693843138019
62,NS01,2,19,Female,continuous,1,62,NA,NA,5040,5.39,1029,972,58,3.06680910927571
63,NS01,2,19,Female,continuous,1,63,NA,NA,1616,5.21,880,972,42,6.31681812336319
64,NS01,2,19,Female,continuous,1,64,NA,NA,2513,5.8,480,972,1,3.51694287833016
65,NS01,2,19,Female,continuous,1,65,NA,NA,4598,6.33,1046,972,59,4.90013022351195
66,NS01,2,19,Female,continuous,1,66,NA,NA,2606,5.92,667,972,20,3.91686697971636
67,NS01,2,19,Female,continuous,1,67,NA,NA,2358,6.56,1440,972,100,2.06680670551941
68,NS01,2,19,Female,continuous,1,68,NA,NA,2445,5.39,1074,972,62,3.00025600007575
69,NS01,2,19,Female,continuous,1,69,NA,NA,7512,5.38,1440,972,100,2.51692304733842
70,NS01,2,19,Female,continuous,1,70,NA,NA,1947,5.85,1440,972,100,2.21681824355073
71,NS01,2,19,Female,continuous,1,71,NA,NA,7900,6.5,1206,972,76,4.01690531963504
72,NS01,2,19,Female,continuous,1,72,NA,NA,2362,6.74,852,972,39,4.83350770584184
73,NS01,2,19,Female,continuous,1,73,NA,NA,7513,5.45,480,972,1,2.7835979068077
74,NS01,2,19,Female,continuous,1,74,NA,NA,8158,6.53,1440,972,100,1.88356413402835
75,NS01,2,19,Female,continuous,1,75,NA,NA,2880,5.18,480,972,1,2.30027757379321
76,NS01,2,19,Female,continuous,1,76,NA,NA,5726,6.23,480,972,1,2.63352327016582
77,NS01,2,19,Female,continuous,1,77,NA,NA,2036,5.8,1201,972,75,3.41698145862392
78,NS01,2,19,Female,continuous,1,78,NA,NA,5020,6.32,1175,972,73,4.03347291146565
79,NS01,2,19,Female,continuous,1,79,NA,NA,2635,5.22,1436,972,100,2.03354021665109
80,NS01,2,19,Female,continuous,1,80,NA,NA,2605,6.26,480,972,1,2.21693813091224
81,NS01,2,19,Female,continuous,1,81,NA,NA,7600,5.9,1387,972,95,5.21689396188413
82,NS01,2,19,Female,continuous,1,82,NA,NA,7192,5.77,480,972,1,1.85026519444546
83,NS01,2,19,Female,continuous,1,83,NA,NA,5500,5.42,828,972,37,5.35013659346805
84,NS01,2,19,Female,continuous,1,84,NA,NA,5215,6.83,1089,972,64,3.18367374533045
85,NS01,2,19,Female,continuous,1,85,NA,NA,5533,5.31,480,972,1,2.15013052398353
86,NS01,2,19,Female,continuous,1,86,NA,NA,2515,6.09,1440,972,100,2.9001740920703
87,NS01,2,19,Female,continuous,1,87,NA,NA,7496,5.92,565,972,10,3.16695922387589
88,NS01,2,19,Female,continuous,1,88,NA,NA,7500,5.33,480,972,1,2.2001791399598
89,NS01,2,19,Female,continuous,1,89,NA,NA,7182,5.16,1315,972,87,3.61694005391655
90,NS01,2,19,Female,continuous,1,90,NA,NA,8161,6.71,1440,972,100,2.55034608085407
91,NS01,2,19,Female,continuous,1,91,NA,NA,5300,6.91,480,972,1,2.81684967266847
92,NS01,2,19,Female,continuous,1,92,NA,NA,2122,5.15,605,972,14,3.30002608076029
93,NS01,2,19,Female,continuous,1,93,NA,NA,1720,6.79,480,972,1,2.40013112492124
94,NS01,2,19,Female,continuous,1,94,NA,NA,5800,6.36,1440,972,100,2.11690459850615
95,NS01,2,19,Female,continuous,1,95,NA,NA,7237,5.43,1440,972,100,3.05024211838099
96,NS01,2,19,Female,continuous,1,96,NA,NA,7033,5.4,599,972,13,2.73351473683215
97,NS01,2,19,Female,continuous,1,97,NA,NA,7140,5.5,1393,972,95,3.03358588802621
98,NS01,2,19,Female,continuous,1,98,NA,NA,5622,6.33,480,972,1,2.8670304952575
99,NS01,2,19,Female,continuous,1,99,NA,NA,2152,6.93,1440,972,100,2.95019626672547
100,NS01,2,19,Female,continuous,1,100,NA,NA,8205,6.62,703,972,24,3.76689149803315
101,NS01,2,19,Female,likert,1,101,NA,NA,7014,5.15,480,270,7,2.86697550932513
102,NS01,2,19,Female,likert,1,102,NA,NA,4619,6.46,480,540,4,5.88358186173355
103,NS01,2,19,Female,likert,1,103,NA,NA,7165,6.09,480,629.1,3,2.80014025919627
104,NS01,2,19,Female,likert,1,104,NA,NA,7026,5.38,480,270,7,2.43351750115107
105,NS01,2,19,Female,likert,1,105,NA,NA,7490,5.52,480,361.8,6,1.76686355436323
106,NS01,2,19,Female,likert,1,106,NA,NA,2308,5.22,480,718.2,2,3.00008262913252
107,NS01,2,19,Female,likert,1,107,NA,NA,5471,5.21,480,718.2,2,2.9834786804804
108,NS01,2,19,Female,likert,1,108,NA,NA,2025,5.78,480,361.8,6,1.65007193241581
109,NS01,2,19,Female,likert,1,109,NA,NA,5635,6.25,480,270,7,1.90020443949834
110,NS01,2,19,Female,likert,1,110,NA,NA,5628,6.51,480,540,4,1.95027889585799
111,NS01,2,19,Female,likert,1,111,NA,NA,2980,5.61,480,810,1,2.533558545294
112,NS01,2,19,Female,likert,1,112,NA,NA,8040,6.64,480,450.9,5,2.56682743791862
113,NS01,2,19,Female,likert,1,113,NA,NA,7053,5.22,480,540,4,2.51686625858929
114,NS01,2,19,Female,likert,1,114,NA,NA,7482,6.36,480,629.1,3,3.21686271304679
115,NS01,2,19,Female,likert,1,115,NA,NA,7450,6.4,480,270,7,1.73352375091781
116,NS01,2,19,Female,likert,1,116,NA,NA,7497,5.19,480,540,4,2.08357561196681
117,NS01,2,19,Female,likert,1,117,NA,NA,5390,5.59,480,450.9,5,2.11679612899025
118,NS01,2,19,Female,likert,1,118,NA,NA,2594,6.05,480,810,1,2.11698722763867
119,NS01,2,19,Female,likert,1,119,NA,NA,7488,6.19,480,450.9,5,2.33357050398263
120,NS01,2,19,Female,likert,1,120,NA,NA,1903,5.5,480,270,7,2.35009963571065
121,NS01,2,19,Female,likert,1,121,NA,NA,5990,6.54,480,540,4,2.06679378532681
122,NS01,2,19,Female,likert,1,122,NA,NA,2579,5.53,480,270,7,1.58363149930847
123,NS01,2,19,Female,likert,1,123,NA,NA,2597,5.61,480,270,7,1.86685021351332
124,NS01,2,19,Female,likert,1,124,NA,NA,8118,6.14,480,810,1,3.75012499534205
125,NS01,2,19,Female,likert,1,125,NA,NA,2342,6.2,480,270,7,1.18359832746683
126,NS01,2,19,Female,likert,1,126,NA,NA,5711,6.62,480,270,7,2.1669381910051
127,NS01,2,19,Female,likert,1,127,NA,NA,7242,5.28,480,540,4,1.81674691207263
128,NS01,2,19,Female,likert,1,128,NA,NA,1640,6.27,480,270,7,1.53344947483856
129,NS01,2,19,Female,likert,1,129,NA,NA,7472,6.25,480,629.1,3,1.80008827795973
130,NS01,2,19,Female,likert,1,130,NA,NA,7509,6.03,480,810,1,2.15008935965125
131,NS01,2,19,Female,likert,1,131,NA,NA,7279,6.22,480,361.8,6,2.21685880694349
132,NS01,2,19,Female,likert,1,132,NA,NA,2442,6.17,480,361.8,6,2.78352308988542
133,NS01,2,19,Female,likert,1,133,NA,NA,2191,5.3,480,270,7,1.38351635936669
134,NS01,2,19,Female,likert,1,134,NA,NA,7507,6.25,480,270,7,2.66681379660076
135,NS01,2,19,Female,likert,1,135,NA,NA,8031,6.76,480,629.1,3,1.33361106737539
136,NS01,2,19,Female,likert,1,136,NA,NA,7001,5.32,480,810,1,2.16697274500439
137,NS01,2,19,Female,likert,1,137,NA,NA,2235,5.64,480,450.9,5,3.21680652523901
138,NS01,2,19,Female,likert,1,138,NA,NA,2575,5.46,480,450.9,5,1.85022192682663
139,NS01,2,19,Female,likert,1,139,NA,NA,4100,6.11,480,450.9,5,1.86689558442049
140,NS01,2,19,Female,likert,1,140,NA,NA,2506,5.67,480,540,4,3.25026982167765
141,NS01,2,19,Female,likert,1,141,NA,NA,8021,6.79,480,270,7,1.71677287264538
142,NS01,2,19,Female,likert,1,142,NA,NA,5750,6.6,480,450.9,5,2.26694047457386
143,NS01,2,19,Female,likert,1,143,NA,NA,7390,6.84,480,540,4,2.01684162008496
144,NS01,2,19,Female,likert,1,144,NA,NA,7340,6.68,480,361.8,6,3.50015534277009
145,NS01,2,19,Female,likert,1,145,NA,NA,7179,5.06,480,361.8,6,2.03358438567739
146,NS01,2,19,Female,likert,1,146,NA,NA,4617,6.6,480,629.1,3,3.55027216533927
147,NS01,2,19,Female,likert,1,147,NA,NA,2305,5.41,480,270,7,1.4169429985177
148,NS01,2,19,Female,likert,1,148,NA,NA,2560,6.34,480,270,7,1.68353372650745
149,NS01,2,19,Female,likert,1,149,NA,NA,1650,6.65,480,270,7,2.00017457282229
150,NS01,2,19,Female,likert,1,150,NA,NA,7506,5.34,480,718.2,2,1.85024175781837
151,NS01,2,19,Female,likert,1,151,NA,NA,2870,5.31,480,361.8,6,3.23351353495309
152,NS01,2,19,Female,likert,1,152,NA,NA,7095,5.99,480,450.9,5,1.63370265050253
153,NS01,2,19,Female,likert,1,153,NA,NA,8280,6.38,480,270,7,1.73346545981985
154,NS01,2,19,Female,likert,1,154,NA,NA,2521,5.78,480,270,7,1.53362494907014
155,NS01,2,19,Female,likert,1,155,NA,NA,7546,5.4,480,270,7,1.91678915809644
156,NS01,2,19,Female,likert,1,156,NA,NA,7205,5.56,480,718.2,2,2.50038009401032
157,NS01,2,19,Female,likert,1,157,NA,NA,5740,5.21,480,629.1,3,2.23367849274837
158,NS01,2,19,Female,likert,1,158,NA,NA,5250,6.08,480,270,7,1.10015972962537
159,NS01,2,19,Female,likert,1,159,NA,NA,2060,6.49,480,450.9,5,1.85010714744931
160,NS01,2,19,Female,likert,1,160,NA,NA,2384,5.92,480,270,7,1.38344755183243
161,NS01,2,19,Female,likert,1,161,NA,NA,7830,5.26,480,540,4,2.13341720440621
162,NS01,2,19,Female,likert,1,162,NA,NA,5531,5.15,480,540,4,2.20016591929925
163,NS01,2,19,Female,likert,1,163,NA,NA,2038,5.09,480,810,1,2.96678489142869
164,NS01,2,19,Female,likert,1,164,NA,NA,7530,6.71,480,270,7,3.30023400570462
165,NS01,2,19,Female,likert,1,165,NA,NA,9156,6.43,480,270,7,1.8168670999039
166,NS01,2,19,Female,likert,1,166,NA,NA,7660,6.61,480,361.8,6,2.00028694844332
167,NS01,2,19,Female,likert,1,167,NA,NA,2500,6.16,480,270,7,1.30018442822438
168,NS01,2,19,Female,likert,1,168,NA,NA,8193,6.73,480,270,7,1.96683687266523
169,NS01,2,19,Female,likert,1,169,NA,NA,7300,5.64,480,629.1,3,1.7668644557707
170,NS01,2,19,Female,likert,1,170,NA,NA,2092,6.28,480,270,7,1.43355716313454
171,NS01,2,19,Female,likert,1,171,NA,NA,2018,5.56,480,270,7,2.10024145735042
172,NS01,2,19,Female,likert,1,172,NA,NA,7233,5.09,480,450.9,5,2.36692352809041
173,NS01,2,19,Female,likert,1,173,NA,NA,2351,5.49,480,450.9,5,1.88354971148874
174,NS01,2,19,Female,likert,1,174,NA,NA,1810,6.52,480,270,7,1.88344094150307
175,NS01,2,19,Female,likert,1,175,NA,NA,7710,5.42,480,450.9,5,2.95024494279642
176,NS01,2,19,Female,likert,1,176,NA,NA,1675,5.24,480,270,7,2.6334607724948
177,NS01,2,19,Female,likert,1,177,NA,NA,1850,6.15,480,361.8,6,2.71688584920412
178,NS01,2,19,Female,likert,1,178,NA,NA,1942,6.26,480,270,7,1.28345999127487
179,NS01,2,19,Female,likert,1,179,NA,NA,7061,5.4,480,629.1,3,2.10018466860129
180,NS01,2,19,Female,likert,1,180,NA,NA,2514,5.19,480,361.8,6,1.73351053025726
181,NS01,2,19,Female,likert,1,181,NA,NA,4645,6.73,480,270,7,2.03351377532817
182,NS01,2,19,Female,likert,1,182,NA,NA,8320,6.24,480,450.9,5,2.15022727518408
183,NS01,2,19,Female,likert,1,183,NA,NA,7820,5.39,480,718.2,2,2.55017421225966
184,NS01,2,19,Female,likert,1,184,NA,NA,1605,6.59,480,270,7,1.28353150303337
185,NS01,2,19,Female,likert,1,185,NA,NA,2620,5.93,480,629.1,3,2.1168021383819
186,NS01,2,19,Female,likert,1,186,NA,NA,7489,6.54,480,450.9,5,3.55016579911171
187,NS01,2,19,Female,likert,1,187,NA,NA,8467,6.35,480,270,7,1.76675238062126
188,NS01,2,19,Female,likert,1,188,NA,NA,2273,5.41,480,540,4,2.16687779662061
189,NS01,2,19,Female,likert,1,189,NA,NA,2357,5.41,480,450.9,5,2.80014897281399
190,NS01,2,19,Female,likert,1,190,NA,NA,8341,6.25,480,270,7,1.41688380601227
191,NS01,2,19,Female,likert,1,191,NA,NA,7475,6.33,480,270,7,1.43349616781052
192,NS01,2,19,Female,likert,1,192,NA,NA,8251,6.16,480,718.2,2,2.20025515876296
193,NS01,2,19,Female,likert,1,193,NA,NA,1560,5.97,480,270,7,1.2168933609446
194,NS01,2,19,Female,likert,1,194,NA,NA,7052,5.33,480,270,7,2.10013088454616
195,NS01,2,19,Female,likert,1,195,NA,NA,7286,6.36,480,270,7,1.66687359004754
196,NS01,2,19,Female,likert,1,196,NA,NA,1660,6.49,480,810,1,2.85010834932837
197,NS01,2,19,Female,likert,1,197,NA,NA,8312,5.37,480,629.1,3,2.81682473369438
198,NS01,2,19,Female,likert,1,198,NA,NA,7240,6.02,480,270,7,1.400171688314
199,NS01,2,19,Female,likert,1,199,NA,NA,7515,6.19,480,270,7,1.83350530208554
200,NS01,2,19,Female,likert,1,200,NA,NA,2389,6.61,480,270,7,1.58359424107948
201,NS01,2,19,Female,likert,2,1,7237,5.43,2500,6.16,480,718.2,2,2.21682034683909
202,NS01,2,19,Female,likert,2,2,7019,5.2,5520,5.33,480,270,7,1.66698957130211
203,NS01,2,19,Female,likert,2,3,2342,6.2,8320,6.24,480,540,4,1.45030683952791
204,NS01,2,19,Female,likert,2,4,5800,6.36,5531,5.15,480,540,4,1.15021285264629
205,NS01,2,19,Female,likert,2,5,7182,5.16,2018,5.56,480,361.8,6,2.26677822100464
206,NS01,2,19,Female,likert,2,6,7512,5.38,5990,6.54,480,270,7,1.26689089709544
207,NS01,2,19,Female,likert,2,7,8117,6.02,7291,6.35,480,270,7,1.96695676002491
208,NS01,2,19,Female,likert,2,8,2575,5.46,2357,5.41,480,270,7,1.48359676502514
209,NS01,2,19,Female,likert,2,9,2606,5.92,2191,5.3,480,270,7,2.63369453782434
210,NS01,2,19,Female,likert,2,10,7100,5.24,2362,6.74,480,270,7,1.51687377032977
211,NS01,2,19,Female,likert,2,11,2506,5.67,8600,6.38,480,361.8,6,2.28363486456692
212,NS01,2,19,Female,likert,2,12,2594,6.05,8467,6.35,480,270,7,2.43351750115107
213,NS01,2,19,Female,likert,2,13,6250,6.32,7500,5.33,480,629.1,3,3.0334443668562
214,NS01,2,19,Female,likert,2,14,7450,6.4,1903,5.5,480,270,7,2.18362266550139
215,NS01,2,19,Female,likert,2,15,2511,6.21,7001,5.32,480,361.8,6,2.23356581665939
216,NS01,2,19,Female,likert,2,16,8193,6.73,1810,6.52,480,361.8,6,2.85016633995656
217,NS01,2,19,Female,likert,2,17,2514,5.19,8021,6.79,480,540,4,1.26677882194417
218,NS01,2,19,Female,likert,2,18,5471,5.21,7352,6.2,480,270,7,2.05020335780682
219,NS01,2,19,Female,likert,2,19,1850,6.15,2442,6.17,480,361.8,6,2.6668456463758
220,NS01,2,19,Female,likert,2,20,1450,6.37,2308,5.22,480,810,1,1.80023040006927
221,NS01,2,19,Female,likert,2,21,7053,5.22,2597,5.61,480,270,7,1.60028803013302
