ParticipantNo,lChoice,lValue,rChoice,rValue
1,7503,5.77,8021,6.79
1,5455,5.79,2351,5.49
1,2606,5.92,5533,5.31
1,1670,5.82,2273,5.41
1,4677,6.58,1942,6.26
1,2362,6.74,7515,6.19
1,7351,5.82,8191,6.07
1,7450,6.4,7279,6.22
1,1450,6.37,2032,5.58
1,2499,5.34,1419,6.54
1,2342,6.2,8467,6.35
1,7461,5.8,5720,6.31
1,2442,6.17,1910,6.71
1,2384,5.92,4693,6.16
1,5635,6.25,2235,5.64
1,5661,5.96,2056,6.34
1,1908,5.28,5711,6.62
1,4604,5.98,7021,5.21
1,8031,6.76,2593,5.8
1,7100,5.24,8620,6.04
1,2500,6.16,2308,5.22
1,2394,5.76,8311,5.88
1,7237,5.43,2511,6.21
1,2060,6.49,7497,5.19
1,7830,5.26,8130,6.58
1,7183,5.58,7188,5.5
1,7057,5.35,7289,6.32
1,7019,5.2,7482,6.36
1,4600,6.41,8260,6.18
1,7472,6.25,2579,5.53
1,7490,5.52,7402,5.98
1,2037,6.42,4100,6.11
1,7179,5.06,8220,6.5
1,7001,5.32,8192,5.52
1,8040,6.64,7481,6.53
1,7240,6.02,7496,5.92
1,2605,6.26,2010,6.25
1,1333,6.11,7530,6.71
1,2560,6.34,1947,5.85
1,8325,5.63,2389,6.61
1,1605,6.59,5215,6.83
1,8117,6.02,4698,6.5
1,2025,5.78,2339,6.72
1,7284,6.21,8161,6.71
1,7242,5.28,7488,6.19
1,2357,5.41,7190,5.55
1,7513,5.45,2359,5.87
1,7390,6.84,2302,6.43
1,7300,5.64,1661,6.14
1,2320,6.17,1720,6.79
1,5530,5.38,7505,6.1
1,5950,5.99,2506,5.67
1,1675,5.24,5626,6.71
1,1900,6.65,2019,6.07
1,2616,5.97,7710,5.42
1,5300,6.91,7320,6.54
1,8118,6.14,2038,5.09
1,7510,6.05,2600,5.84
1,2372,5.48,1313,5.65
1,8465,5.96,2521,5.78
1,7052,5.33,4625,6.4
1,7095,5.99,7233,5.09
1,5726,6.23,4619,6.46
